scenario_leaf_id,scenario_id,climate_window_id,climate_pathway_id,technology_case_id,realization_id,canonical_start,canonical_end,source_file_window,scenario_config_dir,realization_config_path,run_dir,run_config_path,inputs_manifest_path,outputs_dir,logs_dir,climate_forcing_reference,technology_config_reference
baseline_1981_2005__historical__tech_current_stock__seed_0010,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0010,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0010.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0010,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0010/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0010/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0010/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0010/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0011,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0011,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0011.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0011,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0011/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0011/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0011/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0011/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0012,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0012,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0012.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0012,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0012/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0012/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0012/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0012/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0013,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0013,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0013.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0013,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0013/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0013/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0013/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0013/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0014,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0014,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0014.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0014,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0014/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0014/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0014/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0014/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0015,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0015,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0015.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0015,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0015/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0015/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0015/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0015/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0016,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0016,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0016.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0016,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0016/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0016/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0016/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0016/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0017,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0017,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0017.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0017,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0017/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0017/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0017/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0017/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0018,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0018,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0018.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0018,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0018/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0018/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0018/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0018/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0019,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0019,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0019.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0019,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0019/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0019/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0019/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0019/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
