timestamp,aggregate_profile_W,per_household_profile_W,aggregate_dhw_W,per_household_dhw_W,P10_W,P50_W,P90_W
2013-01-01 00:00:00+01:00,8353.314011346965,278.4438003782322,0.0,0.0,270.3178664595148,274.49685053463213,283.0639489858305
2013-01-01 01:00:00+01:00,8587.620287292559,286.25400957641864,0.0,0.0,270.3216171762953,276.4960539609922,298.4839673360363
2013-01-01 02:00:00+01:00,8669.541620226872,288.98472067422904,0.0,0.0,270.96784731578623,289.3141901649694,306.69120096768773
2013-01-01 03:00:00+01:00,8993.575535160315,299.7858511720105,0.0,0.0,273.38095741909495,300.390010917002,313.9174867912769
2013-01-01 04:00:00+01:00,9231.347653371271,307.711588445709,190.4999978555577,6.3499999285185895,281.50575113781815,309.61678821064896,320.91511853903404
2013-01-01 05:00:00+01:00,15924.797872182817,530.8265957394273,23308.560544785276,776.9520181595092,302.7799063917941,335.9389736748043,1099.5268451188879
2013-01-01 06:00:00+01:00,26406.103540034896,880.2034513344965,20766.624762845873,692.2208254281958,313.4707823212962,388.88653911920846,1019.8085124808593
2013-01-01 07:00:00+01:00,16322.784853370773,544.0928284456925,27164.275909979795,905.4758636659932,290.8562770555033,340.0055513736472,1479.3766367203239
2013-01-01 08:00:00+01:00,18590.345202168686,619.6781734056228,20054.961336051078,668.4987112017026,297.4440389987699,328.4087630004823,1265.1879019264936
2013-01-01 09:00:00+01:00,10977.875167676273,365.92917225587576,2511.6421872027245,83.72140624009081,302.79188615373727,316.4937463421967,432.5678349638157
2013-01-01 10:00:00+01:00,11838.962978616748,394.63209928722495,2693.7001179835624,89.79000393278541,308.1920254570682,321.65953036115997,431.5413043288145
2013-01-01 11:00:00+01:00,10520.036646378174,350.6678882126058,134.68688130444738,4.489562710148246,302.35623896386045,321.9555897499573,427.75105019119604
2013-01-01 12:00:00+01:00,10884.08354378192,362.8027847927307,1545.9337994258244,51.53112664752748,305.71344922852614,322.1408492360107,420.47283127212876
2013-01-01 13:00:00+01:00,10141.813854747901,338.06046182493003,623.7771245545282,20.792570818484272,304.5113037988672,317.49287068147396,326.84534151861817
2013-01-01 14:00:00+01:00,10254.611086939964,341.82036956466544,3578.1168917581044,119.27056305860349,307.30095780014256,318.39269735726054,344.1304546096576
2013-01-01 15:00:00+01:00,10411.724965420846,347.05749884736156,722.4240420191628,24.08080140063876,311.3708215386771,323.83128975967986,416.07795808107136
2013-01-01 16:00:00+01:00,10793.239205481601,359.77464018272,834.3381476213976,27.81127158737992,317.47127260233236,332.3466890641695,418.10869326338945
