comparison_name,comparison_type,scenario_id,climate_window_id,climate_pathway_id,technology_case_id,metric,count,mean,median,std,min,max,p05,p10,p50,p90,p95,p25,p75,iqr,p90_minus_p10,coefficient_of_variation
stochastic_robustness,stochastic_robustness,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,HDD_15,3.0,60212.886962890625,60212.886962890625,0.0,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,60212.886962890625,0.0,0.0,0.0
stochastic_robustness,stochastic_robustness,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,HDD_18,3.0,83523.64401245117,83523.64401245117,0.0,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,83523.64401245117,0.0,0.0,0.0
stochastic_robustness,stochastic_robustness,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,CDD_22,3.0,357.7723083496094,357.7723083496094,0.0,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,357.7723083496094,0.0,0.0,0.0
stochastic_robustness,stochastic_robustness,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,mean_solar_W_m2,3.0,134.91337690965955,134.91337690965955,0.0,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,134.91337690965955,0.0,0.0,0.0
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_electricity_gross_kWh,1.0,8752.171090567408,8752.171090567408,,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,8752.171090567408,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_grid_import_kWh,1.0,5866.458241567361,5866.458241567361,,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,5866.458241567361,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_grid_export_kWh,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_gas_kWh,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_useful_heating_kWh,1.0,12766.06492891199,12766.06492891199,,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,12766.06492891199,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,annual_dhw_kWh,1.0,3506.6702517101726,3506.6702517101726,,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,3506.6702517101726,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,peak_grid_import_W,1.0,2424.576926907622,2424.576926907622,,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,winter_peak_grid_import_W,1.0,2424.576926907622,2424.576926907622,,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,2424.576926907622,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,summer_peak_grid_import_W,1.0,809.1042977388711,809.1042977388711,,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,809.1042977388711,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,pv_generation_kWh,1.0,2885.712849000012,2885.712849000012,,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,pv_self_consumption_kWh,1.0,2885.712849000012,2885.712849000012,,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,2885.712849000012,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,pv_export_fraction,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,ev_charging_kWh,1.0,1490.999999999991,1490.999999999991,,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,1490.999999999991,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,mean_T_out_C,1.0,11.16466509683502,11.16466509683502,,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,11.16466509683502,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,winter_mean_T_out_C,1.0,4.389446087437129,4.389446087437129,,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,4.389446087437129,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,summer_mean_T_out_C,1.0,19.122620055394144,19.122620055394144,,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,19.122620055394144,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,HDD_15,1.0,39622.668395996094,39622.668395996094,,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,39622.668395996094,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,HDD_18,1.0,57070.28982543945,57070.28982543945,,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,57070.28982543945,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,CDD_22,1.0,1238.1661987304688,1238.1661987304688,,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,1238.1661987304688,0.0,0.0,
stochastic_robustness,stochastic_robustness,mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,mean_solar_W_m2,1.0,143.9418974681193,143.9418974681193,,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,143.9418974681193,0.0,0.0,
