scenario_leaf_id,scenario_id,climate_window_id,climate_pathway_id,technology_case_id,realization_id,analysis_start,analysis_end,source_file_window,climate_forcing_file,climate_temperature_column,climate_solar_column,year,mean_T_out_C,winter_mean_T_out_C,summer_mean_T_out_C,HDD_15,HDD_18,CDD_22,mean_solar_W_m2
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1991,8.950052506956336,3.429946560329861,15.874760835067086,2369.1568908691406,3330.677032470703,0.0,129.28797439549066
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1992,8.100528904649078,-0.8090377639938187,17.10126827074134,2780.544219970703,3695.389862060547,2.455322265625,134.77248117181122
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1993,8.7662299169253,3.711197238498264,15.643621361773947,2412.7186584472656,3402.4373168945312,0.300018310546875,135.43278371471249
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1994,8.541811673935145,1.9391330295138889,16.71574202827785,2573.996307373047,3537.574188232422,16.541534423828125,132.11664007787834
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1995,9.193843726589256,2.6712910970052084,17.726187332816746,2431.7122192382812,3346.7647399902344,32.656219482421875,134.54270765487462
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1996,9.397000005336407,2.173741267277644,19.122271330460258,2468.8156127929688,3335.9938354492188,30.474853515625,139.39167632952413
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1997,9.44325034781678,2.256667073567708,17.4435570758322,2326.284149169922,3241.8803100585938,24.698089599609375,132.2596705658795
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1998,8.753989358144263,1.160530259874132,16.000126050866168,2525.0164184570312,3473.1974182128906,5.672027587890625,134.46626910510128
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,1999,9.917330221933861,3.662649875217014,16.720694832179856,2142.322021484375,3025.8927001953125,8.172210693359375,137.63086541384868
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,/Users/alex/Library/CloudStorage/OneDrive-VrijeUniversiteitBrussel/Documenten/VUB/MA IW/Master Thesis/model_v3/inputs/climate/processed/baseline/weather_baseline_historical_cnrm_cerfacs_cm5_cnrm_aladin63_r1i1p1.csv,T_out_C,I_solar_W_m2,2000,10.208897658384563,2.979412372295673,19.20939768915591,2243.8782348632812,3077.7515869140625,36.993194580078125,141.7735541609467
