timestamp,aggregate_profile_W,per_household_profile_W,aggregate_dhw_W,per_household_dhw_W,P10_W,P50_W,P90_W,P_biomass_dhw_W,P_biomass_space_heating_W,P_biomass_total_W,P_coal_dhw_W,P_coal_space_heating_W,P_coal_total_W,P_district_heat_dhw_W,P_district_heat_space_heating_W,P_district_heat_total_W,P_el_ev_charging_W,P_el_grid_export_W,P_el_grid_import_W,P_el_gross_actual_W,P_el_total_W,P_gas_dhw_W,P_gas_space_heating_W,P_gas_total_W,P_oil_dhw_W,P_oil_space_heating_W,P_oil_total_W,P_propane_dhw_W,P_propane_space_heating_W,P_propane_total_W,P_pv_generation_W,Q_dhw_demand_W,Q_heating_supplied_W,Q_total_thermal_W
1981-01-01 12:00:00+01:00,14835.70442896954,148.3570442896954,32650.85189330933,326.5085189330933,122.8708144599843,147.0527189705272,147.0527189705277,1730.2635973472593,4859.350994676618,6589.614592023876,274.7805072693322,507.6162619666719,782.396769236004,0.0,0.0,0.0,0.0,2766.5667363493253,18034.816497088115,48636.37604708439,14835.70442896954,18532.696658091107,42039.71908446935,60572.41574256048,2006.3592886760148,13379.70304164791,15386.062330323926,289.1599700107683,3294.5518925780666,3583.7118625888347,33368.126286345585,32650.85189330933,64447.99574472462,97098.84763803394
1981-01-02 12:00:00+01:00,16073.098347024106,160.73098347024106,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,210.40701775467403,1730.2635973472593,26523.357746566995,28253.621343914256,274.7805072693322,2275.36922641464,2550.149733683972,0.0,0.0,0.0,0.0,2766.5667363493253,54292.6079863405,84894.1675363367,16073.098347024106,18532.696658091107,228504.04575647673,247036.74241456785,2006.3592886760148,66041.33759720152,68047.69688587752,289.1599700107683,12412.552395544202,12701.712365554971,33368.126286345585,32650.85189330933,347417.13830592856,380067.99019923806
1981-01-03 12:00:00+01:00,15887.342922540263,158.87342922540265,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,179.64828005256808,1730.2635973472593,18378.935071820022,20109.19866916728,274.7805072693322,2787.046599298418,3061.8271065677504,0.0,0.0,0.0,0.0,2766.5667363493253,41578.67172080113,72180.23127079739,15887.342922540263,18532.696658091107,184001.21143988703,202533.90809797813,2006.3592886760148,56797.68632801223,58804.045616688236,289.1599700107683,9964.050033112151,10253.21000312292,33368.126286345585,32650.85189330933,275411.0580545458,308061.90994785517
1981-01-04 12:00:00+01:00,16316.618359244187,163.16618359244185,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,231.0130394084409,1730.2635973472593,27710.540564469055,29440.80416181631,274.7805072693322,2841.9110013397603,3116.6915086090926,0.0,0.0,0.0,0.0,2766.5667363493253,55898.180662645675,86499.7402126419,16316.618359244187,18532.696658091107,238579.8473026799,257112.543960771,2006.3592886760148,68873.17513747078,70879.5344261468,289.1599700107683,12412.552395544202,12701.712365554971,33368.126286345585,32650.85189330933,361822.95828654896,394473.81017985824
1981-01-05 12:00:00+01:00,16244.59581061493,162.4459581061493,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,159.29482813752404,1730.2635973472593,14380.817777978393,16111.081375325653,274.7805072693322,2359.2419842290997,2634.022491498432,0.0,0.0,0.0,0.0,2766.5667363493253,35425.139000638126,66026.6985506344,16244.59581061493,18532.696658091107,154858.9400853216,173391.6367434127,2006.3592886760148,47138.382168038734,49144.74145671475,289.1599700107683,7835.3923954552265,8124.552365465995,33368.126286345585,32650.85189330933,228143.90726538637,260794.75915869567
1981-01-06 12:00:00+01:00,16277.629027816622,162.77629027816621,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,229.4989413426475,1730.2635973472593,26826.71906261732,28556.98265996458,274.7805072693322,2598.590729209321,2873.3712364786534,0.0,0.0,0.0,0.0,2766.5667363493253,54173.53554033112,84775.09509032735,16277.629027816622,18532.696658091107,232426.85964868145,250959.5563067725,2006.3592886760148,66994.83358598358,69001.19287465961,289.1599700107683,12412.552395544202,12701.712365554971,33368.126286345585,32650.85189330933,352016.58337863936,384667.43527194887
1981-01-07 12:00:00+01:00,15369.792659574276,153.69792659574276,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,157.67293388078812,1730.2635973472593,13244.540485913827,14974.804083261086,274.7805072693322,2308.123731292421,2582.904238561753,0.0,0.0,0.0,0.0,2766.5667363493253,33164.937391132946,63766.49694112921,15369.792659574276,18532.696658091107,146138.48595749648,164671.1826155875,2006.3592886760148,43566.171220535645,45572.53050921166,289.1599700107683,7359.667588820426,7648.827558831194,33368.126286345585,32650.85189330933,213254.43407230554,245905.28596561484
1981-01-08 12:00:00+01:00,15591.333115037374,155.91333115037375,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,185.15110529890467,1730.2635973472593,18206.361308591695,19936.624905938952,274.7805072693322,1802.3491549732976,2077.12966224263,0.0,0.0,0.0,0.0,2766.5667363493253,39950.14724084454,70551.7067908408,15591.333115037374,18532.696658091107,157918.69445731575,176451.39111540688,2006.3592886760148,44787.30656149162,46793.665850167636,289.1599700107683,8737.088794418001,9026.24876442877,33368.126286345585,32650.85189330933,238292.08320049412,270942.93509380345
1981-01-09 12:00:00+01:00,16613.247171434785,166.13247171434784,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,164.37230043280485,1730.2635973472593,11853.803072923618,13584.066670270877,274.7805072693322,1741.0290366824408,2015.809543951773,0.0,0.0,0.0,0.0,2766.5667363493253,30981.324315331105,61582.88386532739,16613.247171434785,18532.696658091107,127880.09437550762,146412.7910335987,2006.3592886760148,38034.33257899051,40040.69186766651,289.1599700107683,6646.907029247552,6936.06699925832,33368.126286345585,32650.85189330933,187574.1374111414,220224.9893044507
1981-01-10 12:00:00+01:00,15417.525692852809,154.17525692852809,32650.85189330933,326.5085189330933,147.0527189705272,147.0527189705272,163.83065514338145,1730.2635973472593,13845.32363705344,15575.587234400695,274.7805072693322,1452.1780534415839,1726.9585607109161,0.0,0.0,0.0,0.0,2766.5667363493253,32600.313271460134,63201.87282145642,15417.525692852809,18532.696658091107,118190.07495070732,136722.7716087984,2006.3592886760148,33821.38737146302,35827.74666013903,289.1599700107683,6788.124875654715,7077.284845665483,33368.126286345585,32650.85189330933,178871.3041459702,211522.15603927942
