timestamp,aggregate_profile_W,per_household_profile_W,aggregate_dhw_W,per_household_dhw_W,P10_W,P50_W,P90_W
2023-01-01 00:00:00+01:00,8081.939036713467,269.3979678904489,0.0,0.0,268.0226926802754,268.0226926802754,269.07970552998125
2023-01-01 01:00:00+01:00,8146.654232187681,271.5551410729227,0.0,0.0,268.0226926802754,268.0226926802754,283.7940792985036
2023-01-01 02:00:00+01:00,8155.563598612837,271.85211995376125,0.0,0.0,268.0226926802754,268.0226926802754,285.2452120280149
2023-01-01 03:00:00+01:00,8211.784916722761,273.7261638907587,0.0,0.0,268.0226926802754,268.0226926802754,286.4858483601551
2023-01-01 04:00:00+01:00,8260.317900571858,275.34393001906193,0.0,0.0,268.0226926802754,268.0226926802754,287.6841771580417
2023-01-01 05:00:00+01:00,14950.192557687546,498.3397519229182,24954.122386465147,831.8040795488382,268.0226926802754,288.4355337929221,1082.7760491889028
2023-01-01 06:00:00+01:00,21756.66821137295,725.2222737124317,44119.566144202036,1470.6522048067345,309.89386682622546,329.07692416376915,1596.0976405936196
2023-01-01 07:00:00+01:00,16948.240114285592,564.9413371428531,25288.695290069176,842.9565096689726,305.3276707865449,322.0576665394781,1252.981603761892
2023-01-01 08:00:00+01:00,19322.868854868622,644.0956284956208,20431.87220785823,681.0624069286076,306.86631749177195,322.1009186976172,1918.2086045004103
2023-01-01 09:00:00+01:00,9610.507616682251,320.35025388940835,246.2523978025016,8.208413260083386,308.7828850934901,316.8256338786007,329.17388918201146
2023-01-01 10:00:00+01:00,9585.964423690542,319.5321474563514,0.0,0.0,310.56865673445236,317.9503983636674,328.6958216604549
2023-01-01 11:00:00+01:00,9514.956052735868,317.1652017578623,0.0,0.0,308.70880091275313,315.81073889140225,326.29399012468394
2023-01-01 12:00:00+01:00,9453.469849213041,315.1156616404347,0.0,0.0,307.01968300203356,314.02833269950867,323.37037621412424
2023-01-01 13:00:00+01:00,9304.179125488952,310.1393041829651,0.0,0.0,301.996409523471,309.2104854507313,317.8924881169253
2023-01-01 14:00:00+01:00,9227.586350446083,307.5862116815361,0.0,0.0,298.6114880853949,307.0641799343073,315.74130637571477
2023-01-01 15:00:00+01:00,9593.213411990233,319.7737803996744,1614.7463657526498,53.82487885842166,299.3266144193939,307.9480968005988,318.44520615132353
2023-01-01 16:00:00+01:00,9572.525843042487,319.0841947680829,3349.5614992477326,111.65204997492442,302.5578266912462,309.9665778768971,320.7863881415481
2023-01-01 17:00:00+01:00,13119.550728723141,437.3183576241047,9736.372122249795,324.5457374083265,336.47604389585285,354.81574156174327,706.1921717032137
2023-01-01 18:00:00+01:00,15631.741797581135,521.0580599193712,27984.46307064792,932.815435688264,339.4519639946275,359.2023962926801,1005.5350670414629
2023-01-01 19:00:00+01:00,15994.385350228762,533.1461783409587,43190.662009085216,1439.6887336361738,344.90744776248613,366.3036669099736,1134.251282120362
2023-01-01 20:00:00+01:00,16891.788144633134,563.0596048211045,27551.497492621293,918.383249754043,345.1033813955814,368.6499856668532,976.9931300377384
2023-01-01 21:00:00+01:00,16748.56938665881,558.2856462219604,15354.957731836574,511.83192439455246,349.83369206150036,366.26681006683623,511.5851148455113
2023-01-01 22:00:00+01:00,10766.278057643229,358.8759352547743,0.0,0.0,348.13490119753294,358.5366119847868,371.02846043990735
2023-01-01 23:00:00+01:00,8599.063999417067,286.63546664723555,0.0,0.0,274.062161401965,284.2591200533527,301.1413248093157
2023-01-02 00:00:00+01:00,8716.285879107547,290.54286263691824,0.0,0.0,278.80578439022713,288.550170333452,305.892807262095
2023-01-02 01:00:00+01:00,8767.372485854681,292.2457495284894,0.0,0.0,280.61809554095066,290.37705399271516,305.7849698713162
2023-01-02 02:00:00+01:00,8842.527953872564,294.75093179575214,0.0,0.0,283.0240128262624,294.0450224611727,308.06773674044643
2023-01-02 03:00:00+01:00,8913.170921946024,297.1056973982008,0.0,0.0,285.7217865695963,297.3025955922188,309.5399349680294
2023-01-02 04:00:00+01:00,9313.516394952383,310.4505464984128,4793.535331260655,159.78451104202182,288.1616623740093,299.5980575699766,311.4702806976606
2023-01-02 05:00:00+01:00,13231.215902958867,441.0405300986289,16207.88903321929,540.2629677739764,292.81597882969174,307.28583126631537,858.0781211234333
2023-01-02 06:00:00+01:00,18060.39047012873,602.0130156709577,30196.877693365168,1006.562589778839,324.495900994537,342.96726642515694,1339.7587724679126
2023-01-02 07:00:00+01:00,18544.27653832118,618.1425512773727,21815.033048580222,727.1677682860075,328.6323147168369,344.46698240063733,937.3042157717389
2023-01-02 08:00:00+01:00,12029.099002453795,400.96996674845985,9052.256858707466,301.74189529024886,329.6241853620539,342.7797377759271,413.9569060058375
2023-01-02 09:00:00+01:00,10731.368274038865,357.7122758012955,2620.550938305099,87.3516979435033,333.7779977991411,345.621224477147,352.4744138630691
2023-01-02 10:00:00+01:00,10479.98419454922,349.332806484974,385.3721453389726,12.845738177965753,337.46501367125046,348.5207429473156,357.1388434691565
2023-01-02 11:00:00+01:00,17422.909528915363,580.7636509638454,75.96876947230433,2.5322923157434776,340.18572764894384,350.8150871859415,358.4792613712326
2023-01-02 12:00:00+01:00,25762.707786498533,858.7569262166178,256.64208231893053,8.554736077297685,341.82850146966354,351.0870521536132,359.0483218788187
2023-01-02 13:00:00+01:00,10476.111797343421,349.203726578114,0.0,0.0,342.8756064984174,350.6812190604885,355.65902071200566
2023-01-02 14:00:00+01:00,11308.91955634419,376.963985211473,6850.103449807639,228.33678166025462,343.5369902350061,351.4549957795364,359.35006133600876
2023-01-02 15:00:00+01:00,10736.114529875733,357.8704843291911,1217.3216487078612,40.57738829026204,344.6060829746923,352.57677576221977,361.7850693378277
2023-01-02 16:00:00+01:00,12924.427128507052,430.8142376169017,6975.781852987016,232.52606176623385,346.77812100577904,354.6148780793446,649.0819281785583
2023-01-02 17:00:00+01:00,14223.252093735073,474.10840312450244,8663.366079372105,288.7788693124035,379.14403291709215,397.7182575421541,883.3000237432973
2023-01-02 18:00:00+01:00,18726.94126901954,624.2313756339846,29943.476432612995,998.1158810870999,380.61962850058353,400.12454260058945,1047.3209010190144
2023-01-02 19:00:00+01:00,14057.172531312754,468.5724177104251,9544.3356245951,318.14452081983666,379.7526233972621,390.46349889224985,450.073775758017
2023-01-02 20:00:00+01:00,20336.765086385254,677.8921695461752,32366.109208117192,1078.8703069372398,384.16335876724935,398.85486881108966,1091.7682426727297
2023-01-02 21:00:00+01:00,18942.36013172995,631.4120043909984,42785.01322659382,1426.1671075531274,386.4658808343064,404.1797563087509,1138.9626613129915
2023-01-02 22:00:00+01:00,12955.640109268506,431.85467030895023,7156.916877701942,238.56389592339806,382.1587328529785,397.23127346918386,423.7506978189561
2023-01-02 23:00:00+01:00,9756.29812304646,325.20993743488197,0.0,0.0,314.70152360738905,324.7137310290025,340.9019220787339
2023-01-03 00:00:00+01:00,10045.331359084921,334.84437863616404,0.0,0.0,323.9986037887879,335.7022758220851,349.6802833906235
2023-01-03 01:00:00+01:00,10300.324261104894,343.3441420368298,0.0,0.0,332.112405075535,343.131831113919,357.25461760914334
2023-01-03 02:00:00+01:00,10542.575126959257,351.4191708986419,0.0,0.0,339.3814093682532,350.8912869099453,364.85107633786873
2023-01-03 03:00:00+01:00,10764.076903939787,358.80256346465956,0.0,0.0,346.1354703166031,357.8287407402195,371.98664904195425
2023-01-03 04:00:00+01:00,10968.844201672866,365.6281400557622,0.0,0.0,352.7861661653618,364.2299946404503,378.67827645334324
2023-01-03 05:00:00+01:00,18067.300998143448,602.2433666047816,22620.443073783023,754.0147691261008,357.6834510911194,376.3633419886789,1200.1986963419336
2023-01-03 06:00:00+01:00,22023.77426059162,734.1258086863874,36041.19557395289,1201.3731857984299,395.0271619858522,418.6851705727454,1004.5729423596372
2023-01-03 07:00:00+01:00,24421.11124396841,814.0370414656137,43421.83342516819,1447.3944475056062,395.061994604259,412.7389279616277,1447.1011233261659
2023-01-03 08:00:00+01:00,18776.606487246936,625.8868829082312,25076.174822025056,835.8724940675019,394.14531370907963,407.28889721522614,1283.1917946025549
2023-01-03 09:00:00+01:00,13956.441696887894,465.2147232295965,3539.1814258065774,117.97271419355258,390.0154057013528,402.31877260680255,423.9134294365247
2023-01-03 10:00:00+01:00,12740.139960696404,424.6713320232135,910.3272168719759,30.344240562399197,386.49291026384424,397.1944430377114,406.50137447615555
2023-01-03 11:00:00+01:00,12891.540220123523,429.7180073374508,0.0,0.0,384.3880564875197,394.5541424319464,405.8086068375779
2023-01-03 12:00:00+01:00,11743.210770298756,391.4403590099585,0.0,0.0,381.3659197562916,391.7454351559654,401.06397774416763
2023-01-03 13:00:00+01:00,11622.104971159239,387.4034990386413,0.0,0.0,377.44519702987753,387.9454791313206,396.5521686130405
2023-01-03 14:00:00+01:00,11684.27239878188,389.4757466260627,4167.965891631371,138.93219638771237,368.45499733081186,379.93051870659957,392.68712796706615
2023-01-03 15:00:00+01:00,11294.225278208862,376.47417594029537,405.157903212298,13.505263440409932,364.96313555119457,376.15455704336733,387.0672151667237
2023-01-03 16:00:00+01:00,11305.474901236801,376.84916337456,612.2738951802884,20.409129839342945,361.2117570597116,372.6106796814389,388.63003408033427
2023-01-03 17:00:00+01:00,16221.528729958041,540.7176243319348,18969.726254920424,632.3242084973475,390.6674547119257,419.6159018407029,798.439096647031
2023-01-03 18:00:00+01:00,14834.975443910387,494.4991814636796,13842.403724279053,461.4134574759684,389.39057244518654,413.8404043258414,611.7649718125354
