household_id,technology_type,household_class,household_random_effect_u,UA_h_W_per_C,C_h_J_per_K,has_dryer,has_ev,annual_energy_kWh,calibrated_annual_energy_kWh,raw_annual_energy_kWh,target_annual_energy_kWh,calibration_fallback_count,space_heating_thermal_kWh,annual_dhw_thermal_kWh,peak_demand_W,peak_total_thermal_W,peak_dhw_load_W,event_peak_W,total_event_count,total_dhw_event_count
household_000,heat_pump,peak_heavy_family,0.2337546711260228,475.62589350223294,16448794.520321395,True,False,3900.0000000006485,3900.0000000006485,4577.538014951067,3900.0,0,14677.117432078192,5233.0525552173885,14517.913764773226,24845.955646338658,22681.331466421092,3303.368611377695,73,2267
household_001,resistive,daytime_home,-0.056973728827437536,556.2722527843665,19093465.849673197,False,False,3900.0000000006444,3900.0000000006444,4300.006998038023,3900.0,0,17674.031017622274,3580.4481659855487,26638.78465043503,23885.8735261454,20782.59546641399,6148.876440568251,26,1668
household_002,heat_pump,workday_absent,-0.4329155578466216,487.9469138399005,21414035.19437147,False,False,3900.000000000646,3900.000000000646,3593.882208998133,3900.0,0,13244.147564919824,1548.776180487918,95800.2852201908,14063.696005423748,13475.732406362977,22247.166512277316,10,900
household_003,heat_pump,low_flat,0.22838761877870573,343.4925277110538,23937584.202664938,True,False,3900.0000000007203,3900.0000000007203,3329.4579537851905,3900.0,0,9435.869197073594,1175.4303572795848,60682.69854177789,8403.326147270565,6004.695298756216,14086.903426916091,10,1184
household_004,resistive,low_flat,-0.17813198553071297,249.46104580011178,10989925.285454094,False,False,3900.0000000007467,3900.0000000007467,3106.875163138982,3900.0,0,6347.234713172557,840.0639105425232,62859.107581369,7329.491094750172,5492.339943268238,14551.308048880011,9,735
household_005,heat_pump,workday_absent,0.41755562295728926,504.05230755277717,21072938.04842112,True,False,3900.0000000006667,3900.0000000006667,3658.2121093557885,3900.0,0,14813.673504711396,1523.6889694954389,27082.38699846152,11891.501321916789,8347.101670058348,6078.331623544856,28,1262
household_006,heat_pump,workday_absent,-0.30604839952990404,595.0386277687223,34381173.55117243,True,False,3900.00000000071,3900.00000000071,3580.182830676329,3900.0,0,17053.88152068515,807.1130674553817,103270.39231966334,11284.584870501069,7348.64978227295,23206.291129988247,4,541
household_007,resistive,workday_absent,0.19247548305293158,346.97504600916426,15298422.963338984,False,False,3900.00000000069,3900.00000000069,3566.97892418415,3900.0,0,9467.620373836808,2121.7139182090905,47200.037738321174,12961.9108326741,11739.441942660302,10939.44639276559,12,1083
household_008,resistive,daytime_home,0.8254639661156248,563.0484093258009,24940052.232696276,False,False,3900.0000000005803,3900.0000000005803,6220.456756106927,3900.0,0,17787.557959463815,11257.332673688868,13490.708150540464,31252.510426556502,27850.577690208855,2957.8746212414276,85,3870
household_009,heat_pump,daytime_home,-0.663196358869782,558.2597066068794,9766368.357384497,True,False,3900.0000000006507,3900.0000000006507,3604.439921799255,3900.0,0,17439.265480197108,834.867316096787,46542.16531303116,10395.982945858568,6118.582151290713,10754.138516659026,10,605
household_010,heat_pump,daytime_home,-0.29535350698174323,332.8673355713168,22637361.510829672,True,False,3900.0000000007317,3900.0000000007317,3209.5054170218746,3900.0,0,8822.750209873659,805.1716994228775,22924.73854988302,7685.056917065678,7685.056917065678,5246.737198419318,39,646
household_011,resistive,daytime_home,0.17077777547025477,256.4397430859185,25231888.18401187,False,False,3900.0000000006467,3900.0000000006467,5140.190903922504,3900.0,0,6650.211069458196,8935.175493992205,12784.492595184971,25077.094765954276,23401.721793570614,2918.4680755862946,57,4124
household_012,heat_pump,low_flat,1.0465841544652974,561.306523946835,18795557.59731971,False,False,3900.0000000006135,3900.0000000006135,4298.092006367668,3900.0,0,17463.775688297705,3610.673982926945,33095.666444905,15914.270725669468,12649.449905553509,7484.036871475466,35,3505
household_013,resistive,low_flat,0.08825621068622348,445.66341779113134,19923888.83649505,True,False,3900.000000000692,3900.000000000692,3917.424892325056,3900.0,0,12380.778803397228,3001.200271987713,47324.722326039875,14170.061812939937,13585.18900957228,10937.040229256902,11,1651
household_014,heat_pump,workday_absent,-0.34871191165013843,599.7870847268377,25537117.87193408,False,False,3900.000000000687,3900.000000000687,4021.127279929143,3900.0,0,18502.03908743955,2313.411808753116,65649.65693930318,17942.21366987841,11787.062785010921,15239.162998140155,10,1463
household_015,resistive,low_flat,0.5776560180533481,550.6710183900824,12997796.54394739,False,False,3900.000000000614,3900.000000000614,4139.485116499392,3900.0,0,16525.691342591155,3144.06420366782,35697.53707032978,14170.304321333764,12369.174628758714,8253.533822366793,16,1903
household_016,heat_pump,daytime_home,-0.0762612662261794,426.7512861742781,25486662.897843115,True,False,3900.0000000006185,3900.0000000006185,4379.379487893981,3900.0,0,12831.9662000268,4771.4267123856935,50265.70338790809,18364.090244243736,16869.065745050913,11657.97034619,30,3048
household_017,heat_pump,peak_heavy_family,-0.8011297705294627,412.59230400517,28751720.146250736,True,False,3900.000000000652,3900.000000000652,3709.8278792506826,3900.0,0,12226.991044091747,2196.8535393538773,22593.181401483926,13291.800564041238,13291.800564041238,5183.028858312957,38,1197
household_018,resistive,daytime_home,0.2605836278660563,530.0325325580527,21479029.447921168,True,False,3900.00000000068,3900.00000000068,3541.2816430719486,3900.0,0,15072.161778239606,1008.4243865000948,20175.043276201013,7905.85213297482,5590.141378577059,4607.814985963448,47,1490
household_019,resistive,low_flat,0.4017925096893008,447.6553033477407,27512807.425075963,False,False,3900.0000000006494,3900.0000000006494,3587.951637573009,3900.0,0,13047.270102042276,1560.4956271427673,37660.52027839943,8931.514727562091,6227.190002846359,8686.890219135781,14,1480
household_020,heat_pump,low_flat,0.5572962222886885,531.4243222145999,20030110.700647287,True,False,3900.0000000006394,3900.0000000006394,5862.588047657696,3900.0,0,14229.652352054638,10464.319417839277,36636.156045758435,32804.59031725152,29394.976684235757,8360.156808830858,22,2987
household_021,heat_pump,workday_absent,0.17385422622547847,284.77148436428246,13804737.640388,False,False,3900.0000000007067,3900.0000000007067,3597.046012639854,3900.0,0,7564.851647103021,2585.2248296623948,43492.40550552132,15175.476690525235,13850.593487556218,10037.109557039474,14,1264
