archetype_id,dwelling_type,renovation_state,floor_area_m2,ceiling_height_m,storeys_assumed,footprint_m2,perimeter_m,gross_wall_area_m2,exposed_wall_fraction,exposed_wall_area_m2,glazing_ratio,window_area_m2,opaque_wall_area_m2,roof_area_m2,floor_exposed_area_m2,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,U_window_W_m2K,UA_wall_W_K,UA_roof_W_K,UA_floor_W_K,UA_window_W_K,UA_base_W_K,thermal_bridge_fraction,UA_thermal_bridge_W_K,UA_total_W_K,geometry_source,u_value_source,caveat
BE_RES_DETACHED_AS_IS_HP_V1,detached,as_is,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,1.65,1.94,1.04,3.91,268.544,179.450,96.200,115.736,659.930,0.10,65.993,725.923,rebuild_archetype_envelope.py geometry assumptions,as-is wall/roof from local DeepSearch TABULA summary; floor/window from config/model_v3/archetypes.yaml old_stock defaults,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_DETACHED_RENOVATED_HP_V1,detached,renovated,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,0.40,0.30,0.40,2.00,65.102,27.750,37.000,59.200,189.052,0.05,9.453,198.504,rebuild_archetype_envelope.py geometry assumptions,renovated EPB2010 package from local DeepSearch note,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_SEMI_AS_IS_HP_V1,semi_detached,as_is,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,1.65,1.94,1.04,3.91,171.528,138.710,74.360,89.461,474.059,0.10,47.406,521.465,rebuild_archetype_envelope.py geometry assumptions,as-is wall/roof from local DeepSearch TABULA summary; floor/window from config/model_v3/archetypes.yaml old_stock defaults,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_SEMI_RENOVATED_HP_V1,semi_detached,renovated,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,0.40,0.30,0.40,2.00,41.583,21.450,28.600,45.760,137.393,0.05,6.870,144.262,rebuild_archetype_envelope.py geometry assumptions,renovated EPB2010 package from local DeepSearch note,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_TERRACED_AS_IS_HP_V1,terraced,as_is,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,1.65,1.94,1.04,3.91,98.707,126.100,67.600,81.328,373.735,0.10,37.374,411.109,rebuild_archetype_envelope.py geometry assumptions,as-is wall/roof from local DeepSearch TABULA summary; floor/window from config/model_v3/archetypes.yaml old_stock defaults,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_TERRACED_RENOVATED_HP_V1,terraced,renovated,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,0.40,0.30,0.40,2.00,23.929,19.500,26.000,41.600,111.029,0.05,5.551,116.580,rebuild_archetype_envelope.py geometry assumptions,renovated EPB2010 package from local DeepSearch note,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_APT_AS_IS_HP_V1,apartment,as_is,100.0,2.50,1.0,100.000,40.000,100.000,0.35,35.000,0.160,16.000,19.000,25.000,25.000,1.65,1.94,1.04,3.91,31.350,48.500,26.000,62.560,168.410,0.10,16.841,185.251,rebuild_archetype_envelope.py geometry assumptions,as-is wall/roof from local DeepSearch TABULA summary; floor/window from config/model_v3/archetypes.yaml old_stock defaults,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
BE_RES_APT_RENOVATED_HP_V1,apartment,renovated,100.0,2.50,1.0,100.000,40.000,100.000,0.35,35.000,0.160,16.000,19.000,25.000,25.000,0.40,0.30,0.40,2.00,7.600,7.500,10.000,32.000,57.100,0.05,2.855,59.955,rebuild_archetype_envelope.py geometry assumptions,renovated EPB2010 package from local DeepSearch note,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, no dwelling-age split within renovation state, and no measured wall/window areas."
