archetype_id,archetype_name,dwelling_type,renovation_state,floor_area_m2,stock_weight,ceiling_height_m,volume_m3,airflow_cluster,ach50_reference_h_inv,n_factor_default,n_factor_low,n_factor_high,ach_inf_default_h_inv,ach_inf_low_h_inv,ach_inf_high_h_inv,ventilation_system_type,ventilation_base_ach_h_inv,ventilation_base_flow_m3_per_h,ventilation_heat_recovery_efficiency,q_p_Lps_person,q_A_Lps_m2,derivation_basis,source_note
BE_RES_DETACHED_AS_IS_HP_V1,Detached as-is HP,detached,as_is,185.0,0.116640,2.5,462.5,old,6.3,20.0,25.0,15.0,0.315,0.420,0.252,natural,0.5,231.25,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_DETACHED_RENOVATED_HP_V1,Detached renovated HP,detached,renovated,185.0,0.045360,2.5,462.5,medium,2.5,20.0,25.0,15.0,0.125,0.167,0.100,mechanical_extract,0.5,231.25,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_SEMI_AS_IS_HP_V1,Semi-detached as-is HP,semi_detached,as_is,143.0,0.088387,2.5,357.5,old,6.3,20.0,25.0,15.0,0.315,0.420,0.252,natural,0.5,178.75,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_SEMI_RENOVATED_HP_V1,Semi-detached renovated HP,semi_detached,renovated,143.0,0.048613,2.5,357.5,medium,2.5,20.0,25.0,15.0,0.125,0.167,0.100,mechanical_extract,0.5,178.75,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_TERRACED_AS_IS_HP_V1,Terraced as-is HP,terraced,as_is,130.0,0.141862,2.5,325.0,old,6.3,20.0,25.0,15.0,0.315,0.420,0.252,natural,0.5,162.50,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_TERRACED_RENOVATED_HP_V1,Terraced renovated HP,terraced,renovated,130.0,0.100138,2.5,325.0,medium,2.5,20.0,25.0,15.0,0.125,0.167,0.100,mechanical_extract,0.5,162.50,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_APT_AS_IS_HP_V1,Apartment as-is HP,apartment,as_is,100.0,0.273000,2.5,250.0,old,6.3,20.0,25.0,15.0,0.315,0.420,0.252,natural,0.5,125.00,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
BE_RES_APT_RENOVATED_HP_V1,Apartment renovated HP,apartment,renovated,100.0,0.182000,2.5,250.0,medium,2.5,20.0,25.0,15.0,0.125,0.167,0.100,mechanical_extract,0.5,125.00,0.0,7.0,0.7,"Belgian empirical update: Census 2021 type shares, TABULA floor areas, Belgian measured ACH50 anchors; ACH50-to-ACH remains conversion assumption.","ACH50 ordinary/as-is anchor 6.3 and airtight/renovated anchor 2.5 from Belgian airtightness evidence; ventilation flow rates remain simplified ACH defaults."
