timestamp,archetype_id,schedule_state,occupied_probability,T_outdoor_C,T_set_C,T_indoor_prev_C,T_indoor_free_float_C,T_indoor_next_C,Q_occ_W,Q_app_W,Q_lighting_W,Q_cooking_W,Q_internal_gains_W,Q_solar_gains_W,Q_air_W,Q_dhw_demand_W,Q_heating_requested_W,Q_heating_supplied_W,Q_unmet_heating_W,Q_excess_heat_W,comfort_violation_degC,P_el_total_W,P_el_space_heating_W,P_el_dhw_W,P_el_space_heating_technology_W,P_el_dhw_technology_W,P_el_appliances_W,P_el_lighting_W,P_el_cooking_W,P_el_ev_charging_W,P_pv_generation_W,P_el_gross_actual_W,P_el_net_grid_W,P_el_grid_import_W,P_el_grid_export_W,P_gas_space_heating_W,P_gas_dhw_W,P_oil_space_heating_W,P_oil_dhw_W,P_biomass_space_heating_W,P_biomass_dhw_W,P_propane_space_heating_W,P_propane_dhw_W,P_coal_space_heating_W,P_coal_dhw_W,P_district_heat_space_heating_W,P_district_heat_dhw_W,heating_technology_type,dhw_technology_type,heating_on,integration_substeps,Q_total_thermal_W,raw_P_el_appliances_W,raw_P_el_lighting_W,raw_P_el_cooking_W,raw_P_el_dhw_W,raw_P_el_space_heating_W,raw_P_el_total_W,P_gas_total_W,P_oil_total_W,P_biomass_total_W,P_propane_total_W,P_coal_total_W,P_district_heat_total_W
1981-01-01 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,4.1038818359375,16.0,17.0,5.588121445060772,5.588121445060772,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,657.7020263671876,400.3048232545867,0.0,0.0,0.0,0.0,9.411878554939229,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,0.0,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,False,5,400.3048232545867,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,444.7831369495408,0.0,0.0,0.0,0.0,0.0
1981-01-02 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,-0.099212646484375,16.0,5.588121445060772,0.9993414292552116,9.874442969648523,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,290.05403866880255,400.3048232545867,4810.287892381924,4810.287892381924,0.0,0.0,5.125557030351477,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,5344.764324868805,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,5210.5927156365115,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,5789.547461818345,0.0,0.0,0.0,0.0,0.0
1981-01-03 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,-0.80859375,21.0,9.874442969648523,0.6441951677895175,9.847033697465177,132.25,164.9508786495088,27.521793275217934,17.60936874013865,342.3320406648654,196.4104430904,758.4956070950452,400.3048232545867,5140.007348022383,5140.007348022383,0.0,0.0,5.152966302534823,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,5711.119275580425,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,5540.31217127697,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,6155.902412529966,0.0,0.0,0.0,0.0,0.0
1981-01-04 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,1.785888671875,21.0,9.847033697465177,3.1188591409092474,12.344370073003153,132.25,164.9508786495088,27.521793275217934,17.60936874013865,342.3320406648654,196.4104430904,572.3412968169025,400.3048232545867,5152.670431771089,5152.670431771089,0.0,0.0,2.6556299269968466,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,5725.189368634544,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,5552.975255025676,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,6169.9725055840845,0.0,0.0,0.0,0.0,0.0
1981-01-05 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,0.864105224609375,16.0,12.344370073003153,2.2725936202473394,5.388658278992965,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,585.4935072680828,400.3048232545867,1688.9010262725433,1688.9010262725433,0.0,0.0,9.611341721007035,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,1876.5566958583813,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,2089.20584952713,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,2321.339832807922,0.0,0.0,0.0,0.0,0.0
1981-01-06 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,2.26129150390625,16.0,5.388658278992965,3.2228817935258998,12.26800604817574,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,159.49570552942248,400.3048232545867,4902.43987510525,4902.43987510525,0.0,0.0,2.7319939518242595,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,5447.155416783611,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,5302.7446983598375,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,5891.938553733152,0.0,0.0,0.0,0.0,0.0
1981-01-07 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,5.256805419921875,16.0,12.26800604817574,6.426189217595554,9.607346690361268,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,357.57123204094717,400.3048232545867,1724.181205742808,1724.181205742808,0.0,0.0,5.392653309638732,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,1915.7568952697866,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,2124.486028997395,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,2360.5400322193273,0.0,0.0,0.0,0.0,0.0
1981-01-08 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,5.994354248046875,16.0,9.607346690361268,6.9819265607935,12.431034225294708,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,184.26261455803407,400.3048232545867,2953.4058290530943,2953.4058290530943,0.0,0.0,2.5689657747052923,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,3281.5620322812156,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,3353.710652307681,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,3726.3451692307563,0.0,0.0,0.0,0.0,0.0
1981-01-09 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.17500000000000004,7.621917724609375,16.0,12.431034225294708,8.673485260517783,11.715677260507244,24.000000000000004,164.9508786495088,27.521793275217934,17.60936874013865,234.0820406648654,196.4104430904,245.26494153495202,400.3048232545867,1648.8621879138452,1648.8621879138452,0.0,0.0,3.2843227394927563,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,1832.0690976820501,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,2049.167011168432,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,2276.852234631591,0.0,0.0,0.0,0.0,0.0
1981-01-10 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,3.71929931640625,21.0,11.715677260507244,5.049309979262376,12.729116284317875,132.25,164.9508786495088,27.521793275217934,17.60936874013865,342.3320406648654,196.4104430904,567.7428340311706,400.3048232545867,4289.357105645654,4289.357105645654,0.0,0.0,2.2708837156821247,445.2054794520537,61.609243116092436,85.44347585443477,0.0,0.0,235.64411235644005,32.378580323785805,30.130067801300633,0.0,0.0,298.1527604815265,298.1527604815265,298.1527604815265,0.0,4765.952339606282,444.7831369495408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_boiler,gas_boiler,True,5,4689.661928900241,235.64411235644116,32.378580323785805,35.2187374802773,0.0,0.0,303.24143016050425,5210.735476555823,0.0,0.0,0.0,0.0,0.0
