timestamp,archetype_id,schedule_state,occupied_probability,T_outdoor_C,T_set_C,T_indoor_prev_C,T_indoor_free_float_C,T_indoor_next_C,Q_occ_W,Q_app_W,Q_lighting_W,Q_cooking_W,Q_internal_gains_W,Q_solar_gains_W,Q_air_W,Q_dhw_demand_W,Q_heating_requested_W,Q_heating_supplied_W,Q_unmet_heating_W,Q_excess_heat_W,comfort_violation_degC,P_el_total_W,P_el_space_heating_W,P_el_dhw_W,P_el_appliances_W,P_el_lighting_W,P_el_cooking_W,heating_on,integration_substeps,Q_total_thermal_W,raw_P_el_appliances_W,raw_P_el_lighting_W,raw_P_el_cooking_W,raw_P_el_dhw_W,raw_P_el_space_heating_W,raw_P_el_total_W
2023-01-01 00:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,15.75,17.0,17.0,16.938936709651685,16.938936709651685,118.35,164.9508786495088,27.521793275217934,16.18682614018336,327.00949806491013,0.0,88.75,367.9668858503204,0.0,0.0,0.0,0.0,0.0,392.2059827110136,0.0,91.80865799937838,235.644112356485,32.378580323790366,32.37463203135983,False,1,367.9668858503204,235.64411235644116,32.378580323785805,32.37365228036672,91.80587960103954,0.0,392.2022245616332
2023-01-01 01:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,15.07,17.0,16.938936709651685,16.818025034435145,16.818025034435145,118.35,164.9508786495088,27.521793275217934,13.589065338835542,324.4117372635623,0.0,132.69450638526962,308.9133108024599,0.0,0.0,0.0,0.0,0.0,372.2762892534792,0.0,77.07464338096777,235.644112356485,32.378580323790366,27.178953192236065,False,1,308.9133108024599,235.64411235644116,32.378580323785805,27.178130677671085,77.07231087697737,0.0,372.27313423487544
2023-01-01 02:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,14.95,17.0,16.818025034435145,16.696792575971052,16.696792575971052,118.35,164.9508786495088,27.521793275217934,11.321013295356506,322.1436852200833,0.0,132.62977744489535,257.35483725379765,0.0,0.0,0.0,0.0,0.0,354.87607983126475,0.0,64.21067532563411,235.644112356485,32.378580323790366,22.64271182535525,False,1,257.35483725379765,235.64411235644116,32.378580323785805,22.642026590713012,64.2087321229172,0.0,354.8734513938571
2023-01-01 03:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,14.57,17.0,16.696792575971052,16.550486492576027,16.550486492576027,118.35,164.9508786495088,27.521793275217934,9.946196651036175,320.76886857576295,0.0,151.0022728939447,226.10182972504634,0.0,0.0,0.0,0.0,0.0,344.3286598119141,0.0,56.4129718093827,235.644112356485,32.378580323790366,19.892995322256052,False,1,226.10182972504634,235.64411235644116,32.378580323785805,19.89239330207235,56.41126458796611,0.0,344.3263505702654
2023-01-01 04:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.91,17.0,16.550486492576027,16.35478245785321,16.35478245785321,118.35,164.9508786495088,27.521793275217934,9.311991269309363,320.13466319403614,0.0,187.47454097289793,211.68476134595244,0.0,0.0,0.0,0.0,0.0,339.4631160557776,0.0,52.815877203678696,235.644112356485,32.378580323790366,18.624546171823585,False,1,211.68476134595244,235.64411235644116,32.378580323785805,18.623982538618726,52.81427884085884,0.0,339.46095405970453
2023-01-01 05:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.58,17.0,16.35478245785321,16.146210948652413,16.146210948652413,118.35,164.9508786495088,27.521793275217934,9.40577143994183,320.2284433646686,0.0,197.009554507578,213.81661826733344,0.0,0.0,0.0,0.0,0.0,340.1825857052275,0.0,53.34778083556772,235.644112356485,32.378580323790366,18.81211218938445,False,1,213.81661826733344,235.64411235644116,32.378580323785805,18.81154287988366,53.34616637578925,0.0,340.1804019358999
2023-01-01 06:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.73,17.0,16.146210948652413,15.972163282070033,15.972163282070033,118.35,164.9508786495088,27.521793275217934,10.086282693789578,320.90895461851636,0.0,171.55097735432133,229.28633448568624,0.0,0.0,0.0,0.0,0.0,345.40338227608623,0.0,57.207513708965216,235.644112356485,32.378580323790366,20.173175886845684,False,1,229.28633448568624,235.64411235644116,32.378580323785805,20.172565387579155,57.20578244238838,0.0,345.4010405101945
2023-01-01 07:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.29,17.0,15.972163282070033,15.772778070412457,15.858252971875514,118.35,164.9508786495088,27.521793275217934,11.07473709873432,321.8974090234611,0.0,190.43359302697243,251.75636573471704,474.8605636836447,474.8605636836447,0.0,0.0,0.0,373.81826859204244,20.831588701688744,62.81384268449365,235.644112356485,32.378580323790366,22.150144525584658,True,1,726.6169294183618,235.64411235644116,32.378580323785805,22.14947419746864,62.81194175401526,21.356733937388167,374.34084256909904
2023-01-01 08:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.8,12.94,21.0,15.858252971875514,15.634880837999246,16.062468520858076,109.0,164.9508786495088,27.521793275217934,12.999862772319345,314.47253469704606,0.0,207.1959610031615,295.51926853263126,2375.487126993513,2375.487126993513,0.0,0.0,0.0,471.9658991920126,104.20989776833198,73.73279634726453,235.644112356485,32.378580323790366,26.000512396140714,True,1,2671.006395526144,235.64411235644116,32.378580323785805,25.99972554463869,73.73056497733326,106.83693366604665,474.58991686824555
2023-01-01 09:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,12.73,21.0,16.062468520858076,15.810288053782706,16.22089317158815,132.25,164.9508786495088,27.521793275217934,14.987278957467401,339.70995088219416,35.493175872,236.60526498092335,340.6981898482815,2281.1395433635694,2281.1395433635694,0.0,0.0,0.0,483.07418531504555,100.07097740415001,85.00505017049737,235.644112356485,32.378580323790366,29.975465060122833,True,1,2621.8377332118507,235.64411235644116,32.378580323785805,29.974557914934802,85.00247766921771,102.59367491743731,485.5934031818167
