timestamp,archetype_id,schedule_state,occupied_probability,T_outdoor_C,T_set_C,T_indoor_prev_C,T_indoor_free_float_C,T_indoor_next_C,Q_occ_W,Q_app_W,Q_lighting_W,Q_cooking_W,Q_internal_gains_W,Q_solar_gains_W,Q_air_W,Q_dhw_demand_W,Q_heating_requested_W,Q_heating_supplied_W,Q_unmet_heating_W,Q_excess_heat_W,comfort_violation_degC,P_el_total_W,P_el_space_heating_W,P_el_dhw_W,P_el_appliances_W,P_el_lighting_W,P_el_cooking_W,heating_on,integration_substeps,Q_total_thermal_W
2023-01-01 00:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,15.75,17.0,17.0,16.948386709651682,16.948386709651682,118.35,164.9508786495088,27.521793275217934,16.18682614018336,327.00949806491013,0.0,88.75,367.9668858503204,0.0,0.0,0.0,0.0,0.0,392.2059827110136,0.0,91.80865799937838,235.64411235648504,32.37858032379036,32.37463203135982,False,1,367.9668858503204
2023-01-01 01:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,15.07,17.0,16.948386709651682,16.84076900496011,16.84076900496011,118.35,164.9508786495088,27.521793275217934,13.589065338835542,324.4117372635623,0.0,133.36545638526943,308.9133108024599,0.0,0.0,0.0,0.0,0.0,372.2762892534792,0.0,77.07464338096777,235.64411235648504,32.37858032379036,27.178953192236065,False,1,308.9133108024599
2023-01-01 02:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,14.95,17.0,16.84076900496011,16.731648703641348,16.731648703641348,118.35,164.9508786495088,27.521793275217934,11.321013295356506,322.1436852200833,0.0,134.24459935216777,257.35483725379765,0.0,0.0,0.0,0.0,0.0,354.87607983126475,0.0,64.21067532563411,235.64411235648504,32.37858032379036,22.642711825355246,False,1,257.35483725379765
2023-01-01 03:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,14.57,17.0,16.731648703641348,16.598340587557164,16.598340587557164,118.35,164.9508786495088,27.521793275217934,9.946196651036175,320.76886857576295,0.0,153.47705795853568,226.10182972504634,0.0,0.0,0.0,0.0,0.0,344.3286598119141,0.0,56.41297180938269,235.64411235648504,32.37858032379036,19.892995322256052,False,1,226.10182972504634
2023-01-01 04:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.91,17.0,16.598340587557164,16.418369285803788,16.418369285803788,118.35,164.9508786495088,27.521793275217934,9.311991269309363,320.13466319403614,0.0,190.87218171655866,211.68476134595244,0.0,0.0,0.0,0.0,0.0,339.4631160557777,0.0,52.8158772036787,235.64411235648504,32.37858032379036,18.62454617182359,False,1,211.68476134595244
2023-01-01 05:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.58,17.0,16.418369285803788,16.22515532813009,16.22515532813009,118.35,164.9508786495088,27.521793275217934,9.40577143994183,320.2284433646686,0.0,201.52421929206895,213.81661826733344,0.0,0.0,0.0,0.0,0.0,340.18258570522755,0.0,53.34778083556771,235.64411235648504,32.37858032379036,18.812112189384447,False,1,213.81661826733344
2023-01-01 06:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.73,17.0,16.22515532813009,16.062397112061284,16.062397112061284,118.35,164.9508786495088,27.521793275217934,10.086282693789578,320.90895461851636,0.0,177.1560282972363,229.28633448568624,0.0,0.0,0.0,0.0,0.0,345.4033822760863,0.0,57.207513708965216,235.64411235648504,32.37858032379036,20.17317588684568,False,1,229.28633448568624
2023-01-01 07:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,sleeping,0.97,13.29,17.0,16.062397112061284,15.87531418892153,15.87531418892153,118.35,164.9508786495088,27.521793275217934,11.07473709873432,321.8974090234611,0.0,196.84019495635118,251.75636573471704,0.0,0.0,0.0,0.0,0.0,352.9866798903537,0.0,62.81384268449364,235.64411235648504,32.37858032379036,22.150144525584654,False,1,251.75636573471704
2023-01-01 08:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.8,12.94,21.0,15.87531418892153,15.672496177150114,16.059922424467647,109.0,164.9508786495088,27.521793275217934,12.999862772319345,314.47253469704606,0.0,208.4073074134287,295.51926853263126,2152.3680406529575,2152.3680406529575,0.0,0.0,0.0,472.5989355799535,104.84293415627286,73.73279634726453,235.64411235648504,32.37858032379036,26.000512396140717,True,1,2447.8873091855885
2023-01-01 09:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,12.73,21.0,16.059922424467647,15.833160443408952,16.2066303081192,132.25,164.9508786495088,27.521793275217934,14.987278957467401,339.70995088219416,35.493175872,236.42449213720292,340.6981898482815,2074.832581723588,2074.832581723588,0.0,0.0,0.0,484.0693507091058,101.06614279821024,85.00505017049737,235.64411235648504,32.37858032379036,29.975465060122833,True,1,2415.5307715718695
2023-01-01 10:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,12.97,21.0,16.2066303081192,16.119800488513597,16.482179237219786,132.25,164.9508786495088,27.521793275217934,16.622732884809555,341.3454048095363,765.4521897792,229.80075187646304,377.876132169033,2013.2152705899368,2013.2152705899368,0.0,0.0,0.0,493.6149367735802,98.06473245757344,94.2810397306963,235.64411235648504,32.37858032379036,33.246471905035094,True,1,2391.0914027589697
2023-01-01 11:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,13.37,21.0,16.482179237219786,16.379777269037923,16.721324518704108,132.25,164.9508786495088,27.521793275217934,17.99555048081794,342.7182224055447,616.4619598368,220.96472584260482,409.0836963492464,1897.48472036769,1897.48472036769,0.0,0.0,0.0,498.5097268036567,92.42743891499725,102.06740501787142,235.64411235648504,32.37858032379036,35.992190190512645,True,1,2306.5684167169366
2023-01-01 12:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,13.63,21.0,16.721324518704108,16.763232338202762,17.086700204588734,132.25,164.9508786495088,27.521793275217934,18.666906359161576,343.38957828388834,1407.2719798367998,219.48404082799163,424.34528807278707,1797.0437021442744,1797.0437021442744,0.0,0.0,0.0,498.76775176949826,87.5349061969441,105.87521030946671,235.64411235648504,32.37858032379036,37.33494258281204,True,1,2221.3889902170613
2023-01-01 13:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.52,13.43,16.0,17.086700204588734,17.016416556221305,17.016416556221305,70.85000000000001,164.9508786495088,27.521793275217934,18.997422716757423,282.32009464148416,1122.6549926592002,259.6257145258001,431.8587483258269,0.0,0.0,0.0,0.0,0.0,413.76852541119376,0.0,107.74983742752714,235.64411235648504,32.37858032379036,37.99599530339125,False,1,431.8587483258269
2023-01-01 14:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.52,12.94,16.0,17.016416556221305,16.801190056639765,16.801190056639765,70.85000000000001,164.9508786495088,27.521793275217934,19.347082075724884,282.66975400045163,523.1479996512,289.42557549171266,439.8073766927106,0.0,0.0,0.0,0.0,0.0,416.4510679436563,0.0,109.73304007798582,235.64411235648504,32.37858032379036,38.6953351853951,False,1,439.8073766927106
2023-01-01 15:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.52,12.68,16.0,16.801190056639765,16.528709432859472,16.528709432859472,70.85000000000001,164.9508786495088,27.521793275217934,20.360133067944805,283.68280499267155,226.04026959360002,292.6044940214233,462.83654965017837,0.0,0.0,0.0,0.0,0.0,424.22306747545264,0.0,115.47887630771852,235.64411235648504,32.37858032379036,40.72149848745874,False,1,462.83654965017837
2023-01-01 16:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,away,0.52,11.99,16.0,16.528709432859472,16.182444168577305,16.182444168577305,70.85000000000001,164.9508786495088,27.521793275217934,24.159679989764264,287.482351914491,17.328066940800003,322.2483697330225,549.2097173333299,0.0,0.0,0.0,0.0,0.0,453.3727125813807,0.0,137.0291975922568,235.64411235648504,32.37858032379036,48.32082230884856,False,1,549.2097173333299
2023-01-01 17:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.95,11.07,21.0,16.182444168577305,15.793975879096743,16.1581830999523,132.25,164.9508786495088,27.521793275217934,27.330251065835316,352.0529229905621,0.0,362.98353596898863,621.2846970189861,2023.3734491975317,2023.3734491975317,0.0,0.0,0.0,576.2564767392854,98.55954246719458,155.01208522352104,235.64411235648504,32.37858032379036,54.6621563682944,True,1,2644.6581462165177
2023-01-01 18:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.8,10.5,21.0,16.1581830999523,15.717350406757648,16.083391764401256,109.0,164.9508786495088,27.521793275217934,27.624712403789193,329.09738432851594,0.0,401.7310000966133,627.9785368484771,2033.563098020034,2033.563098020034,0.0,0.0,0.0,579.0118899511298,99.05588540687557,156.68221499671574,235.64411235648504,32.37858032379036,55.251096867263065,True,1,2661.541634868511
2023-01-01 19:00:00+01:00,BE_RES_APT_AS_IS_HP_V1,occupied_day,0.8,10.58,21.0,16.083391764401256,15.656081322017577,16.02777690462884,109.0,164.9508786495088,27.521793275217934,26.745782264740058,328.2184541894668,0.0,390.74081527248916,607.9982650308276,2064.9754589514723,2064.9754589514723,0.0,0.0,0.0,573.7989606643401,100.58599737036153,151.6970872241385,235.64411235648504,32.37858032379036,53.49318338956475,True,1,2672.9737239823
